time,Inputshaft_rpm,InputShaft_torque,Propeller_torque,ShipSpeed
0.338,78.37695442,17303.58543,48467.4009,5
0.339,78.37178534,17303.15958,48438.0532,5
0.34,78.36823833,17302.61573,48432.3999,5
0.341,78.36636294,17301.94377,48413.0764,5
0.342,78.3661886,17301.13676,48367.8318,5
0.343,78.36772388,17300.19197,48329.2057,5
0.344,78.3709559,17299.1114,48332.7915,5
0.345,78.37584994,17297.90172,48369.6065,5
0.346,78.38234941,17296.57376,48397.1882,5
0.347,78.39037624,17295.14172,48395.0871,5
0.348,78.3998316,17293.62227,48390.4463,5
0.349,78.41059717,17292.03351,48419.9931,5
0.35,78.42253668,17290.39393,48480.3138,5
0.351,78.435498,17288.72153,48533.0439,5
0.352,78.44931533,17287.0335,48556.5655,5
0.353,78.46381168,17285.3464,48573.662,5
0.354,78.4788013,17283.67678,48618.7836,5
0.355,78.49409211,17282.04174,48690.6954,5
0.356,78.50939373,17280.49678,48754.4899,5
0.357,78.52441172,17279.03368,48788.3911,5
0.358,78.5392405,17277.61449,48810.6996,5
0.359,78.55359776,17276.28836,48851.7835,5
0.36,78.5668505,17275.11998,48911.6568,5
0.361,78.5791287,17274.06461,48961.5126,5
0.362,78.59088345,17273.06667,48985.2124,5
0.363,78.60152282,17272.18512,49001.6249,5
0.364,78.61091828,17271.42237,49036.5453,5
0.365,78.61895869,17270.77973,49084.6141,5
0.366,78.62555153,17270.25834,49115.229,5
0.367,78.6306237,17269.86095,49114.7745,5
0.368,78.63412162,17269.5944,49106.4048,5
0.369,78.63601066,17269.47138,49119.3741,5
0.37,78.63627424,17269.5102,49149.7733,5
0.371,78.63491299,17269.73216,49166.5501,5
0.372,78.63194416,17270.15826,49154.2623,5
0.373,78.62740141,17270.80695,49133.577,5
0.374,78.62133459,17271.69359,49131.6942,5
0.375,78.61380951,17272.82953,49144.26,5
0.376,78.6049078,17274.21897,49141.8607,5
0.377,78.59472725,17275.85501,49112.0274,5
0.378,78.58338245,17277.71896,49078.0096,5
0.379,78.57100459,17279.78603,49067.4097,5
0.38,78.55773993,17282.03388,49073.4402,5
0.381,78.54374681,17284.44658,49062.7027,5
0.382,78.52919283,17287.00878,49019.9526,5
0.383,78.51425344,17289.69452,48969.1156,5
0.384,78.49911212,17292.4613,48941.5258,5
0.385,78.48396025,17295.25691,48934.0855,5
0.386,78.46899499,17298.03506,48913.9318,5
0.387,78.45441446,17300.76744,48863.1924,5
0.388,78.44041204,17303.44287,48803.2313,5
0.389,78.42717193,17306.0555,48765.9725,5
0.39,78.41486702,17308.59365,48751.4999,5
0.391,78.40365795,17311.0392,48728.9915,5
0.392,78.3936917,17313.3768,48678.8395,5
0.393,78.38509847,17315.60313,48618.7071,5
0.394,78.37798823,17317.72666,48579.3631,5
0.395,78.3724483,17319.7575,48564.4031,5
0.396,78.36854338,17321.69623,48548.2006,5
0.397,78.36631703,17323.53099,48512.8452,5
0.398,78.3657931,17325.2447,48472.2442,5
0.399,78.36697566,17326.8259,48451.2722,5
0.4,78.36984781,17328.2737,48450.6689,5
0.401,78.37437064,17329.59334,48446.9902,5
0.402,78.38048389,17330.7863,48426.9112,5
0.403,78.38810836,17331.84336,48407.1574,5
0.404,78.39714898,17332.74615,48411.866,5
0.405,78.40749721,17333.47605,48438.9045,5
0.406,78.41903174,17334.02409,48462.2221,5
0.407,78.43161808,17334.39539,48467.2698,5
0.408,78.4451082,17334.60622,48470.6044,5
0.409,78.45934119,17334.67727,48496.6602,5
0.41,78.47414521,17334.62826,48543.8955,5
0.411,78.48934006,17334.47731,48587.0427,5
0.412,78.50473969,17334.24379,48612.0538,5
0.413,78.52015411,17333.95136,48635.0629,5
0.414,78.53539111,17333.62786,48678.9607,5
0.415,78.5502583,17333.30176,48740.1289,5
0.416,78.56456585,17332.99747,48791.8146,5
0.417,78.5781299,17332.73259,48820.014,5
0.418,78.5907759,17332.51877,48842.4284,5
0.419,78.60234154,17332.365,48883.875,5
0.42,78.61267882,17332.28027,48941.4574,5
0.421,78.62165579,17332.27294,48987.3307,5
0.422,78.62915843,17332.34714,49005.7173,5
0.423,78.63509291,17332.49922,49013.8481,5
0.424,78.63938792,17332.71784,49038.1446,5
0.425,78.64199622,17332.98862,49077.8602,5
0.426,78.64289486,17333.30062,49105.5211,5
0.427,78.64208413,17333.65027,49103.5767,5
0.428,78.63958593,17334.04071,49087.7416,5
0.429,78.63544234,17334.47776,49085.812,5
0.43,78.62971463,17334.96634,49100.8919,5
0.431,78.62248241,17335.50963,49108.302,5
0.432,78.6138426,17336.11049,49089.2288,5
0.433,78.60390784,17336.77276,49055.0714,5
0.434,78.59280475,17337.5006,49030.5621,5
0.435,78.58067217,17338.29671,49020.2463,5
0.436,78.5676597,17339.16072,49004.2246,5
0.437,78.55392613,17340.08913,48967.4673,5
0.438,78.53963787,17341.07566,48921.0829,5
0.439,78.52496725,17342.11091,48886.4347,5
0.44,78.51009097,17343.18086,48865.1631,5
0.441,78.4951887,17344.26558,48837.2578,5
0.442,78.48044189,17345.33962,48789.6637,5
0.443,78.46603216,17346.37429,48735.317,5
0.444,78.45213939,17347.34076,48696.0218,5
0.445,78.43893926,17348.2122,48672.9639,5
0.446,78.42660069,17348.9647,48645.7803,5
0.447,78.41528325,17349.57745,48601.3996,5
0.448,78.40513469,17350.03339,48552.5944,5
0.449,78.39628845,17350.32044,48520.5593,5
0.45,78.38886125,17350.43215,48505.7867,5
0.451,78.38295093,17350.36706,48487.742,5
0.452,78.37863477,17350.12661,48453.8748,5
0.453,78.3759685,17349.71326,48417.7239,5
0.454,78.37498577,17349.12991,48400.822,5
0.455,78.37569794,17348.38113,48403.2036,5
0.456,78.3780938,17347.47458,48403.3198,5
0.457,78.38213952,17346.42086,48387.7754,5
0.458,78.38777916,17345.23121,48370.0817,5
0.459,78.39493582,17343.91414,48372.4343,5
0.46,78.40351373,17342.47321,48395.2664,5
0.461,78.41340058,17340.90709,48416.3559,5
0.462,78.42446995,17339.21206,48421.0271,5
0.463,78.43658327,17337.3849,48422.3768,5
0.464,78.4495915,17335.42503,48443.8133,5
0.465,78.4633367,17333.33481,48487.3753,5
0.466,78.47765366,17331.1191,48530.6176,5
0.467,78.49237176,17328.78491,48556.1493,5
0.468,78.50731673,17326.34195,48573.9723,5
0.469,78.52231236,17323.80394,48607.0237,5
0.47,78.53718198,17321.18942,48660.1306,5
0.471,78.55174983,17318.52146,48714.1587,5
0.472,78.56584266,17315.82611,48752.0909,5
0.473,78.57929149,17313.13047,48780.8105,5
0.474,78.59193362,17310.46149,48819.5874,5
0.475,78.60361461,17307.84609,48872.3674,5
0.476,78.61419008,17305.31174,48922.2783,5
0.477,78.62352728,17302.88623,48955.0792,5
0.478,78.63150672,17300.59576,48978.3481,5
0.479,78.63802402,17298.46187,49009.9313,5
0.48,78.64299208,17296.49892,49052.2433,5
0.481,78.64634323,17294.71375,49088.3638,5
0.482,78.64803101,17293.10761,49105.1671,5
0.483,78.64803113,17291.67907,49111.112,5
0.484,78.64634175,17290.42607,49123.975,5
0.485,78.64298323,17289.34626,49145.7276,5
0.486,78.63799767,17288.43604,49159.5577,5
0.487,78.63144828,17287.68987,49153.1639,5
0.488,78.6234186,17287.1008,49135.9216,5
0.489,78.61401121,17286.66184,49126.017,5
0.49,78.60334602,17286.3673,49125.3128,5
0.491,78.59155823,17286.21306,49116.7875,5
0.492,78.57879612,17286.19576,49088.2273,5
0.493,78.56521892,17286.31177,49049.4921,5
0.494,78.55099471,17286.55667,49019.4206,5
0.495,78.53629826,17286.9253,49000.3137,5
0.496,78.52130882,17287.41181,48975.2089,5
0.497,78.50620795,17288.00904,48931.8789,5
0.498,78.49117749,17288.70721,48880.5841,5
0.499,78.47639788,17289.4924,48840.9566,5
0.5,78.46204664,17290.34601,48815.717,5
0.501,78.44829699,17291.24533,48787.2062,5
0.502,78.43531627,17292.16511,48741.7564,5
0.503,78.42326419,17293.07943,48688.9343,5
0.504,78.41229095,17293.96317,48649.5449,5
0.505,78.40253517,17294.79296,48628.574,5
0.506,78.39412202,17295.54762,48609.4449,5
0.507,78.38716132,17296.20857,48576.926,5
0.508,78.38174594,17296.76026,48537.5398,5
0.509,78.37795022,17297.19078,48510.3967,5
0.51,78.37582862,17297.49253,48501.6905,5
0.511,78.37541448,17297.66276,48497.5232,5
0.512,78.37671903,17297.7038,48483.9189,5
0.513,78.37973066,17297.62291,48465.9475,5
0.514,78.38441455,17297.43146,48460.1031,5
0.515,78.3907129,17297.1438,48471.3151,5
0.516,78.39854549,17296.77579,48486.5653,5
0.517,78.40781096,17296.34351,48493.3778,5
0.518,78.41838839,17295.86201,48497.0277,5
0.519,78.43013946,17295.34462,48512.6914,5
0.52,78.44291071,17294.8026,48543.8878,5
0.521,78.45653616,17294.24509,48577.3769,5
0.522,78.4708399,17293.67951,48601.4441,5
0.523,78.48563875,17293.11196,48621.9246,5
0.524,78.50074484,17292.54789,48653.6234,5
0.525,78.51596819,17291.99259,48699.1088,5
0.526,78.53111905,17291.45176,48744.4182,5
0.527,78.54574635,17290.94882,48777.7797,5
0.528,78.55976284,17290.48491,48805.3496,5
0.529,78.57300789,17290.07145,48842.226,5
0.53,78.58582844,17289.68623,48890.9346,5
0.531,78.59772526,17289.36381,48937.3562,5
0.532,78.60855519,17289.11723,48969.5344,5
0.533,78.61818819,17288.95975,48993.6101,5
0.534,78.62650887,17288.90356,49024.7379,5
0.535,78.63341811,17288.95809,49065.4356,5
0.536,78.63883466,17289.12872,49101.2855,5
0.537,78.6426966,17289.41728,49120.1343,5
0.538,78.64496215,17289.8253,49128.5399,5
0.539,78.64560947,17290.36008,49142.7566,5
0.54,78.64463495,17291.04059,49166.3134,5
0.541,78.64205075,17291.89839,49184.6847,5
0.542,78.63788289,17292.96921,49184.4192,5
0.543,78.63217135,17294.27678,49170.9207,5
0.544,78.62497288,17295.81776,49160.9621,5
0.545,78.61636511,17297.56021,49160.2325,5
0.546,78.60644896,17299.46027,49156.1956,5
0.547,78.59534676,17301.48781,49135.4515,5
0.548,78.58319656,17303.64157,49101.7371,5
