Time,Inputshaft_rpm,Propeller_torque,InputShaft_torque,ShipSpeed
23.5360000000058,78.6347162399395,49152.8641999185,17307.2924200044,5
23.5370000000058,78.6242541399328,49138.7711998948,17308.0494500051,5
23.5380000000058,78.612640869927,49120.5782998724,17308.9322500058,5
23.5390000000058,78.6000196799221,49098.5083998515,17309.9305100064,5
23.5400000000058,78.5865463999181,49072.8361998325,17311.0323000069,5
23.5410000000058,78.5723875299151,49043.8868998156,17312.2241400073,5
23.5420000000058,78.5577182299132,49012.021799801,17313.4912900077,5
23.5430000000058,78.5427201799123,48977.6334997887,17314.8179200079,5
23.5440000000058,78.5275793499126,48941.1500997792,17316.1873500081,5
23.5450000000058,78.5124836799139,48903.0298997725,17317.5823100081,5
23.5460000000058,78.4976207799163,48863.7451997684,17318.9852100081,5
23.5470000000058,78.4831755699198,48823.7784997673,17320.3783700079,5
23.5480000000058,78.4693279599242,48783.626299769,17321.7443300077,5
23.5490000000058,78.4562505999296,48743.7890997737,17323.0660500073,5
23.5500000000058,78.4441067099359,48704.7566997811,17324.3271800069,5
23.5510000000058,78.4330479799429,48667.0065997911,17325.5122500064,5
23.5520000000058,78.4232126799508,48631.0059998039,17326.6069200057,5
23.5530000000058,78.4147238799592,48597.201199819,17327.5981000051,5
23.5540000000058,78.4076878699681,48566.0046998362,17328.4741400044,5
23.5550000000058,78.4021928299775,48537.7959998556,17329.2249400036,5
23.5560000000058,78.3983076799871,48512.9242998768,17329.8420500028,5
23.5570000000058,78.3960811999969,48491.6969998994,17330.3187600019,5
23.5580000000058,78.3955414100067,48474.3706999232,17330.6501100011,5
23.5590000000058,78.3966952300165,48461.1547999481,17330.8329800002,5
23.5600000000058,78.399528360026,48452.2148999735,17330.8660099993,5
23.5610000000058,78.4040054700353,48447.6622999993,17330.7496699985,5
23.5620000000058,78.410070700044,48447.5488000251,17330.4861399976,5
23.5630000000058,78.4176483100523,48451.8741000507,17330.0793199968,5
23.5640000000058,78.4266436800599,48460.5898000756,17329.5347099961,5
23.5650000000058,78.4369445400667,48473.5902000996,17328.8593599954,5
23.5660000000058,78.4484223500728,48490.7116001224,17328.0617599947,5
23.5670000000058,78.4609339900779,48511.7436001437,17327.1516899941,5
23.5680000000058,78.4743235100821,48536.4329001632,17326.1401899936,5
23.5690000000058,78.4884241600852,48564.4761001808,17325.0393199931,5
23.5700000000058,78.5030604600873,48595.5237001961,17323.8621299928,5
23.5710000000058,78.5180504300883,48629.1943002089,17322.6224199925,5
23.5720000000058,78.5332078200882,48665.0773002194,17321.3346599923,5
23.5730000000058,78.548344520087,48702.7284002269,17320.0138399922,5
23.5740000000058,78.5632728300847,48741.6779002317,17318.6752499922,5
23.5750000000058,78.5778078200814,48781.4456002338,17317.3343999923,5
23.5760000000058,78.5917696100771,48821.5425002328,17316.0068099924,5
23.5770000000058,78.6049856200717,48861.4684002289,17314.7078699927,5
23.5780000000058,78.6172926200656,48900.7236002222,17313.452689993,5
23.5790000000058,78.6285387900586,48938.8223002128,17312.2559299934,5
23.5800000000058,78.6385855600509,48975.2930002007,17311.1316399939,5
23.5810000000058,78.6473092400426,49009.677900186,17310.0930999945,5
23.5820000000058,78.6546025700337,49041.544700169,17309.1526999951,5
23.5830000000058,78.6603759900244,49070.49890015,17308.3217299958,5
23.5840000000058,78.6645587000148,49096.181200129,17307.6102799966,5
23.5850000000058,78.6670995300051,49118.2668001064,17307.0271099974,5
23.5860000000058,78.6679674999952,49136.4773000825,17306.5794599982,5
23.5870000000058,78.6671522099855,49150.5896000575,17306.2729999991,5
23.5880000000058,78.6646639699759,49160.4293000318,17306.1116699999,5
23.5890000000058,78.6605336199665,49165.8696000057,17306.0976500008,5
23.5900000000058,78.6548121699577,49166.8425999795,17306.2312100016,5
23.5910000000058,78.6475702099493,49163.3419999536,17306.5107400025,5
23.5920000000059,78.6388970099415,49155.4136999283,17306.9327000033,5
23.5930000000059,78.6288994899345,49143.1541999038,17307.491620004,5
23.5940000000059,78.6177008799283,49126.7189998806,17308.1801500047,5
23.5950000000059,78.6054392899229,49106.3203998589,17308.9891300054,5
23.5960000000059,78.5922660099185,49082.2147998389,17309.9077100059,5
23.5970000000059,78.5783436899151,49054.701199821,17310.9234400064,5
23.5980000000059,78.5638443699127,49024.1264998052,17312.0225000068,5
23.5990000000059,78.5489473699115,48990.878699792,17313.1898500071,5
